CODERING DATABASE;OMSCHRIJVING VAKMAN MUTATIE;EENHEID;Materiaal per stuk EXCL BTW;Uren per stuk EXCL BTW;Prijs per stuk EXCL BTW;OMSCHRIJVING OFFERTE MUTATIE
0000011001;Badkamerrenovatie >0 - 2 m²;stu;6285.20;0.00;6285.20;Badkamerrenovatie >0 - 2 m²
0000011002;Badkamerrenovatie >2 - 3 m²;stu;7351.41;0.00;7351.41;Badkamerrenovatie >2 - 3 m²
0000011003;Badkamerrenovatie >3 - 4 m²;stu;8179.59;0.00;8179.59;Badkamerrenovatie >3 - 4 m²
0000011004;Badkamerrenovatie >4 - 5 m²;stu;8947.05;0.00;8947.05;Badkamerrenovatie >4 - 5 m²
0000011005;Badkamerrenovatie >5 - 6 m²;stu;9759.12;0.00;9759.12;Badkamerrenovatie >5 - 6 m²
0000011006;Badkamerrenovatie >6 m²;stu;10815.94;0.00;10815.94;Badkamerrenovatie >6 m²
0000011010;toeslag wasmachine aansluiting vervangen incl. riolering;stu;160.47;0.00;160.47;toeslag wasmachine aansluiting vervangen incl. riolering
0000011011;toeslag toilet in badkamer incl. aanpassen waterleidingen en riolering;stu;723.69;0.00;723.69;toeslag toilet in badkamer incl. aanpassen waterleidingen en riolering
0000011012;toeslag radiator vervangen;stu;182.30;0.00;182.30;toeslag radiator vervangen
0000021001;Toiletrenovatie gemiddeld 1.10 m² incl. fontein;stu;2759.78;0.00;2759.78;Toiletrenovatie gemiddeld 1.10 m² incl. fontein
0000021010;Minderwerk toiletrenovatie excl. fontein;stu;-249.78;0.00;-249.78;Minderwerk toiletrenovatie excl. fontein
0000031001;Keukenrenovatie tot en met 1800 mm;stu;4380.76;0.00;4380.76;Keukenrenovatie tot en met 1800 mm
0000031002;Keukenrenovatie groter dan 1800 mm;stu;4837.87;0.00;4837.87;Keukenrenovatie groter dan 1800 mm
0000031010;Perilex voorziening t.b.v. elektrisch koken inclusief gasvoorziening afdoppen en verwijderen;stu;221.64;0.00;221.64;Perilex voorziening t.b.v. elektrisch koken inclusief gasvoorziening afdoppen en verwijderen
0000031011;Toeslag keukenladekast;stu;140.78;0.00;140.78;Toeslag keukenladekast
0000051050;Coating met Schönox HA Pro (WOONFORTE REGEL);M2;14.97;0.00;14.97;Coating met Schönox HA Pro (WOONFORTE REGEL)
0010005001;afvalcontainer open 6 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om;stu;354.20;0.00;354.20;afvalcontainer open 6 m3 alleen van toepassing bij werkzaamheden buiten het prijzenboek om
